phase,task_id,task_tier,status,time_taken_s,program_cached
Inference,1caeab9d,easy,color_mapping,Miss,Playbook.Fail.NoMatch | Synthesizer.Fail.MaxDepth,Fallback,0.592
Inference,1cf80156,medium,scaling,Miss,Playbook.Fail.NoMatch | Synthesizer.Fail.MaxDepth,Fallback,1.035
Inference,1d0a4b61,hard,color_mapping,Miss,Playbook.Fail.NoMatch | Synthesizer.Fail.MaxDepth,Fallback,13.134
Inference,1d398264,medium,color_mapping,Miss,Playbook.Fail.NoMatch | Synthesizer.Fail.MaxDepth,Fallback,0.679
Inference,1d61978c,medium,color_mapping,Miss,Playbook.Fail.NoMatch | Synthesizer.Fail.MaxDepth,Fallback,1.527
Inference,1da012fc,medium,color_mapping,Miss,Playbook.Fail.NoMatch | Synthesizer.Fail.MaxDepth,Fallback,0.895
Inference,1e0a9b12,medium,color_mapping,Miss,Playbook.Fail.NoMatch | Synthesizer.Fail.MaxDepth,Fallback,0.553
Inference,1e32b0e9,medium,color_mapping,Miss,Playbook.Fail.NoMatch | Synthesizer.Fail.MaxDepth,Fallback,0.697
Inference,1e5d6875,medium,color_mapping,Miss,Playbook.Fail.NoMatch | Synthesizer.Fail.MaxDepth,Fallback,0.404
Inference,1e81d6f9,medium,color_mapping,Miss,Playbook.Fail.NoMatch | Synthesizer.Fail.MaxDepth,Fallback,2.583
Inference,1efba499,medium,color_mapping,Miss,Playbook.Fail.NoMatch | Synthesizer.Fail.MaxDepth,Fallback,0.902
Inference,1f0c79e5,easy,color_mapping,Miss,Playbook.Fail.NoMatch | Synthesizer.Fail.MaxDepth,Fallback,0.686
Inference,1f642eb9,medium,color_mapping,Miss,Playbook.Fail.NoMatch | Synthesizer.Fail.MaxDepth,Fallback,0.691
